# Each line contains x, y coordinates defining the terrain contour
-50, 100, 0
145, 193, 2
235, 235, 3
412, 169, 1
685, 140, 0
911, 180, 2
1149, 112, 1
1254, 20, 3
1518, 48, 2
1654, 67, 3
1770, 72, 3
1925, 16, 1
1979, 5, 2
2066, 95, 4
2119, 164, 1
2418, 210, 3
2581, 135, 1
2679, 101, 3
2868, 147, 2
2991, 100, 2
3024, 145, 3
3158, 139, 4
3310, 52, 0
3384, 6, 3
3624, 5, 4
3674, 82, 3
3847, 106, 1
3939, 170, 2
4112, 266, 4
4282, 215, 1
4333, 135, 1
4369, 132, 1
4547, 56, 1
4838, 24, 2
4869, 101, 1
5160, 171, 2
5347, 108, 3
5429, 181, 2
5652, 155, 1
5789, 226, 1
5895, 162, 3
5975, 147, 3
6246, 163, 4
6443, 165, 0
6641, 210, 0
6816, 211, 2
6934, 176, 1
7087, 258, 0
7295, 220, 3
7500, 156, 1
7557, 195, 0
7856, 204, 1
7897, 213, 2
8164, 176, 3
8359, 242, 2
8406, 227, 1
8582, 277, 3
8622, 336, 3
8881, 385, 0
9067, 333, 0
9101, 261, 2
9331, 349, 1
9361, 381, 2
9616, 373, 3
9891, 422, 0
9973, 383, 1
10045, 326, 1
10253, 416, 4
10504, 446, 1
10534, 492, 4
10671, 500, 0
10725, 414, 1
11019, 328, 1
11318, 242, 0
11521, 169, 0
11744, 218, 3
11798, 152, 0
11944, 93, 3
12112, 5, 0
12167, 15, 0
12195, 5, 0
12335, 5, 3
12419, 60, 0
12633, 41, 1
12822, 132, 4
12900, 57, 1
13066, 49, 2
13241, 5, 0
13305, 26, 4
13453, 18, 4
13556, 5, 0
13760, 5, 3
13915, 57, 4
14011, 5, 1
14138, 5, 3
14200, 12, 4
14249, 95, 1
14418, 79, 3
14646, 97, 1
14869, 49, 3
14980, 41, 3
15208, 88, 4
15327, 20, 2
15611, 5, 4
15796, 5, 1
15826, 67, 2
16059, 63, 2
16355, 5, 3
16421, 5, 4
16669, 5, 1
16758, 24, 3
17024, 5, 0
17286, 5, 1
17475, 69, 4
17660, 167, 2
17899, 104, 2
18105, 194, 4
18128, 170, 3
18339, 145, 3
18381, 72, 0
18646, 147, 3
18775, 157, 3
19006, 71, 3
19100, 20, 0
19137, 8, 1
19332, 5, 0
19573, 59, 1
19635, 89, 2
19658, 174, 3
19707, 182, 1
19981, 217, 2
20013, 304, 2
20309, 306, 1
20340, 232, 4
20583, 193, 1
20644, 215, 2
20686, 307, 4
20722, 277, 4
20971, 224, 2
21030, 130, 1
21173, 185, 1
21441, 121, 4
21614, 209, 0
21903, 211, 3
22184, 299, 0
22271, 248, 3
22311, 169, 3
22580, 167, 1
22642, 170, 0
22776, 252, 4
23005, 175, 0
23077, 87, 3
23272, 153, 1
23359, 176, 3
23401, 179, 2
23687, 139, 0
23956, 141, 3
24093, 184, 3
24234, 88, 2
24433, 153, 3
24717, 229, 2
24998, 246, 3
25109, 334, 4
25241, 432, 3
25505, 403, 4
25684, 463, 4
25898, 421, 4
25959, 321, 2
26234, 328, 3
26436, 359, 0
26505, 391, 1
26563, 374, 4
26628, 384, 4
26681, 379, 0
26730, 333, 2
26808, 262, 3
27089, 222, 1
27213, 316, 4
27493, 362, 0
27566, 451, 0
27840, 477, 4
28051, 412, 1
28154, 353, 0
28245, 338, 4
28479, 299, 0
28585, 327, 3
28760, 378, 3
28863, 407, 4
29052, 453, 4
29321, 398, 1
29519, 300, 3
29623, 374, 4
29772, 347, 4
29989, 379, 1
30048, 467, 0
30237, 476, 0
30280, 404, 2
30476, 488, 2
30728, 419, 0
30920, 477, 3
31030, 483, 2
31047, 483, 4
31082, 508, 4
31104, 533, 4
31135, 558, 4
31150, 583, 4
31164, 608, 4
31213, 633, 4
31248, 658, 4
31265, 683, 4
