# Each line contains x coordinate of a target and target number from 0 to 4
800, 0
1012, 2
1310, 2
1592, 3
2107, 4
2202, 1
2717, 4
2861, 1
3316, 1
3575, 1
3675, 4
4029, 3
4515, 4
4689, 1
5049, 3
5392, 0
5471, 1
5843, 0
6322, 2
6523, 0
6793, 2
6977, 0
7514, 3
7652, 1
7931, 0
8336, 4
8664, 4
8787, 4
9082, 2
9550, 0
9748, 1
9990, 1
10304, 2
10783, 2
10952, 4
11347, 1
11594, 0
11790, 1
12109, 3
12557, 1
12907, 1
13034, 0
13448, 3
13618, 4
13972, 2
14171, 1
14730, 4
14935, 1
15289, 3
15600, 3
15839, 4
16161, 3
16455, 4
16628, 0
16999, 2
17290, 2
17511, 4
17857, 3
18149, 0
18520, 1
18699, 4
18977, 4
19454, 1
19639, 2
19921, 3
20419, 0
20696, 2
21025, 3
21316, 4
21445, 3
21757, 3
22058, 2
22379, 3
22619, 3
23101, 2
23192, 4
23573, 1
23818, 0
24192, 2
24370, 0
24798, 3
25116, 3
25465, 0
25735, 0
26064, 4
26260, 4
26592, 2
26842, 0
27105, 3
27444, 1
27670, 2
28064, 1
28301, 3
28606, 2
29015, 2
29202, 0
29538, 0
29838, 2
30200, 1
30502, 1
30858, 3
